"Formula","Metric","Value","Lower","Upper"
"lab_meld","C-index",0.421358367608568,0.374623633945145,0.468093101271991
"bc_meld_original","C-index",0.439319480796966,0.393049979632827,0.485588981961105
"bc_meld_improved","C-index",0.420837562096042,0.374004416953102,0.467670707238982
